patch,champion_name,champion_name_kr,role,pick_count,pick_rate_pct,win_rate_pct,avg_kda,avg_gpm,avg_vision,sample_flag
15.3,Teemo,티모,JUNGLE,9,0.019,55.56,3.227,379.0,35.44,LOW_N
15.3,Tryndamere,트린다미어,JUNGLE,9,0.019,33.33,2.406,455.0,25.89,LOW_N
15.3,Aatrox,아트록스,MID,8,0.017,75.0,3.638,429.8,13.38,LOW_N
15.3,Amumu,아무무,SUPPORT,8,0.017,62.5,2.325,303.6,55.13,LOW_N
15.3,Cassiopeia,카시오페아,BOT,8,0.017,37.5,2.714,375.6,15.0,LOW_N
15.3,Chogath,초가스,JUNGLE,8,0.017,25.0,2.907,356.2,22.75,LOW_N
15.3,FiddleSticks,FiddleSticks,TOP,8,0.017,50.0,1.365,328.0,39.5,LOW_N
15.3,MonkeyKing,오공,MID,8,0.017,62.5,3.814,437.7,17.13,LOW_N
15.3,Rengar,렝가,TOP,8,0.017,75.0,1.938,417.5,13.5,LOW_N
15.3,Sejuani,세주아니,SUPPORT,8,0.017,62.5,3.105,309.2,60.0,LOW_N
15.3,Sejuani,세주아니,TOP,8,0.017,37.5,3.327,380.2,17.38,LOW_N
15.3,Shaco,샤코,TOP,8,0.017,50.0,1.515,363.7,17.0,LOW_N
15.3,Syndra,신드라,BOT,8,0.017,62.5,2.285,437.2,18.75,LOW_N
15.3,Tryndamere,트린다미어,MID,8,0.017,50.0,2.199,366.2,16.5,LOW_N
15.3,Twitch,트위치,MID,8,0.017,100.0,4.849,516.0,15.25,LOW_N
15.3,Azir,아지르,TOP,7,0.015,28.57,2.632,420.5,13.71,LOW_N
15.3,Brand,브랜드,TOP,7,0.015,57.14,3.296,356.2,19.29,LOW_N
15.3,Briar,브라이어,TOP,7,0.015,28.57,0.926,349.3,12.86,LOW_N
15.3,Kaisa,카이사,MID,7,0.015,42.86,1.849,417.5,17.29,LOW_N
15.3,Kassadin,카사딘,TOP,7,0.015,42.86,2.372,369.3,12.29,LOW_N
15.3,KogMaw,코그모,MID,7,0.015,42.86,2.27,417.5,19.29,LOW_N
15.3,MissFortune,미스 포츈,MID,7,0.015,71.43,3.078,455.0,21.29,LOW_N
15.3,MissFortune,미스 포츈,SUPPORT,7,0.015,57.14,2.692,339.6,75.43,LOW_N
15.3,Morgana,모르가나,MID,7,0.015,57.14,4.107,365.4,23.71,LOW_N
15.3,Nautilus,노틸러스,JUNGLE,7,0.015,42.86,5.738,328.8,27.14,LOW_N
15.3,TahmKench,탐 켄치,BOT,7,0.015,57.14,2.502,387.8,19.14,LOW_N
15.3,Veigar,베이가,TOP,7,0.015,42.86,2.624,410.3,17.71,LOW_N
15.3,Viktor,빅토르,TOP,7,0.015,85.71,2.857,396.8,20.71,LOW_N
15.3,AurelionSol,아우렐리온 솔,TOP,6,0.013,66.67,5.098,399.3,13.17,LOW_N
15.3,Elise,엘리스,TOP,6,0.013,66.67,3.157,411.0,16.83,LOW_N
15.3,FiddleSticks,FiddleSticks,MID,6,0.013,50.0,2.072,333.8,29.33,LOW_N
15.3,Garen,가렌,JUNGLE,6,0.013,66.67,5.133,439.7,20.67,LOW_N
15.3,LeeSin,리 신,TOP,6,0.013,83.33,3.307,450.3,17.67,LOW_N
15.3,Lissandra,리산드라,SUPPORT,6,0.013,50.0,2.328,313.4,62.5,LOW_N
15.3,Malphite,말파이트,JUNGLE,6,0.013,50.0,3.988,404.9,21.67,LOW_N
15.3,Nautilus,노틸러스,TOP,6,0.013,83.33,3.479,367.4,17.17,LOW_N
15.3,Sett,세트,MID,6,0.013,33.33,1.854,394.5,15.83,LOW_N
15.3,Sett,세트,SUPPORT,6,0.013,50.0,2.96,325.5,62.67,LOW_N
15.3,Sion,사이온,MID,6,0.013,50.0,2.061,419.6,18.0,LOW_N
15.3,Syndra,신드라,SUPPORT,6,0.013,66.67,2.229,302.3,45.83,LOW_N
15.3,Veigar,베이가,SUPPORT,6,0.013,66.67,2.129,349.8,64.17,LOW_N
15.3,Xerath,제라스,BOT,6,0.013,83.33,4.227,417.7,18.67,LOW_N
15.3,Zyra,자이라,BOT,6,0.013,50.0,3.218,392.5,22.17,LOW_N
15.3,Ahri,아리,TOP,5,0.011,40.0,2.426,413.4,22.4,LOW_N
15.3,Akshan,아크샨,BOT,5,0.011,60.0,1.984,421.6,25.0,LOW_N
15.3,Ezreal,이즈리얼,TOP,5,0.011,60.0,3.723,412.8,16.8,LOW_N
15.3,Fizz,피즈,TOP,5,0.011,60.0,3.727,427.9,22.2,LOW_N
15.3,JarvanIV,자르반 4세,TOP,5,0.011,40.0,4.966,417.8,13.6,LOW_N
15.3,Jhin,진,TOP,5,0.011,60.0,3.119,397.0,16.6,LOW_N
15.3,Katarina,카타리나,BOT,5,0.011,40.0,2.176,437.0,13.6,LOW_N
15.3,Lillia,릴리아,TOP,5,0.011,80.0,2.012,375.5,23.0,LOW_N
15.3,Neeko,니코,TOP,5,0.011,40.0,1.223,365.8,19.8,LOW_N
15.3,Nidalee,니달리,SUPPORT,5,0.011,80.0,2.787,319.1,50.8,LOW_N
15.3,Orianna,오리아나,SUPPORT,5,0.011,60.0,4.579,331.8,56.2,LOW_N
15.3,Ornn,오른,SUPPORT,5,0.011,40.0,2.199,304.3,50.0,LOW_N
15.3,Senna,세나,BOT,5,0.011,60.0,3.287,385.4,22.2,LOW_N
15.3,Singed,신지드,MID,5,0.011,40.0,2.962,385.7,17.8,LOW_N
15.3,Taliyah,탈리야,SUPPORT,5,0.011,40.0,2.057,337.8,46.0,LOW_N
15.3,Vayne,베인,MID,5,0.011,40.0,1.181,377.8,19.2,LOW_N
15.3,Vi,바이,TOP,5,0.011,60.0,2.025,412.6,13.4,LOW_N
15.3,Yorick,요릭,MID,5,0.011,40.0,3.925,411.2,14.8,LOW_N
15.3,Zac,자크,MID,5,0.011,60.0,4.567,401.7,19.8,LOW_N
15.3,Annie,애니,TOP,4,0.009,50.0,2.375,399.6,16.0,LOW_N
15.3,Darius,다리우스,MID,4,0.009,0.0,1.728,397.5,19.5,LOW_N
15.3,Diana,다이애나,TOP,4,0.009,50.0,2.574,452.0,13.75,LOW_N
15.3,Jax,잭스,MID,4,0.009,100.0,6.442,439.0,16.5,LOW_N
15.3,Jax,잭스,SUPPORT,4,0.009,75.0,1.973,357.0,54.75,LOW_N
15.3,Karma,카르마,JUNGLE,4,0.009,25.0,3.057,285.8,52.5,LOW_N
15.3,Katarina,카타리나,TOP,4,0.009,75.0,2.761,418.7,17.75,LOW_N
15.3,Kennen,케넨,SUPPORT,4,0.009,0.0,1.992,288.3,39.0,LOW_N
